,consPorc,consVita,consumOaieSiCapra,consPasareDeCurte
Bulgaria,-0.6216330575063017,-0.6616285426238112,-0.26157934452185,-0.5653834828438975
Czech Republic,-0.3815036406398113,-0.5225574572254852,-0.5262750475785845,-0.3681668480923822
Denmark,0.8375492510484025,-0.40024250607480455,-0.5245220959027119,-0.4578286481389335
Germany,3.528821545890578,2.1475590938510574,0.04963699916380607,1.3426628800327014
Estonia,-0.6541835206756555,-0.6786019754423918,-0.5407031882953804,-0.7704258624240371
Ireland,-0.5125678692245706,0.6882060357380321,0.3400876076122044,-0.5542937338907714
Greece,-0.5833249669555634,-0.5748056913924952,0.9525419546747044,-0.47517112788477955
Spain,2.2217894023217686,0.8387939453959071,2.2378600603989995,1.8171429012878175
France,1.2425700141985052,2.9843758905212976,1.1589857251178324,2.580742902342164
Croatia,-0.5542409167471017,-0.5818799670907087,-0.43849262134835815,-0.6112761673414085
Italy,0.6693774944505798,2.006121868458107,0.2783297716468532,1.229110929315852
Cyprus,-0.6396584049029412,-0.7046295153832589,-0.45265107719194303,-0.7376088570999814
Latvia,-0.6519599435812296,-0.6591416812008899,-0.5419167702248305,-0.7538305643452455
Lithuania,-0.6021957809280304,-0.578934364240258,-0.5377366546900579,-0.6602165665334846
Luxembourg,-0.6777551288097227,-0.6918571882694197,-0.54771499499887,-0.794040735638052
Hungary,-0.2638823306107072,-0.6307480012653983,-0.5366579151972133,-0.054999416219263256
Malta,-0.6793615153037946,-0.7105448653698196,-0.5350398059579464,-0.7852515197124362
Netherlands,0.4044589975808309,0.21683714680894872,-0.3089090397704052,0.6234022121154107
Austria,-0.23726704280366154,-0.19361570940138878,-0.5365230727606077,-0.5796192598688323
Poland,1.0814071755142916,0.16693090835090355,-0.5281628416910624,1.4527148745196639
Portugal,-0.3783331409804586,-0.49377746871944267,-0.3656777055813502,-0.2608676281682527
Romania,-0.27076442853794197,-0.20416676223456043,0.4377135317146372,-0.19452576120398427
Slovenia,-0.6580811215902196,-0.6266917612746138,-0.546771097942631,-0.6784045413236293
Slovakia,-0.5899111515812587,-0.6585863626307229,-0.5327474845356518,-0.6284613456836642
Finland,-0.5057872272864351,-0.5002481372761703,-0.5384108668730857,-0.6067537519881834
Sweden,-0.462203425302534,-0.3916954289513658,-0.4863616863433356,-0.5742906748222061
United Kingdom,-0.061359267037018335,1.4155284969427502,3.8316976610768396,2.065639793609817
